target,origin,forecast_date,horizon,actual,sarimax_pred,tbats_prophet_pred,var_pred,bilstm_pred,train_end_date,ensemble_pred,residual,lag1,lag2,lag3,resid_lag1,resid_lag2,month,rf_residual,final_forecast
unemployment,2024-05-01,2024-08-01,3,1460100.0,1384315.9025294578,1383951.952323994,1403035.6096200198,1306319.725848711,2024-05-01,1374362.3768606496,85737.62313935044,1422200.0,1423000.0,1553500.0,44981.190635294886,49987.46547225816,8,69182.40605467788,1443544.7829153275
unemployment,2024-05-01,2024-09-01,4,1435900.0,1384326.6838253306,1383951.952323994,1402102.4679810414,1301924.9414076277,2024-05-01,1373160.6844729362,62739.315527063794,1460100.0,1422200.0,1423000.0,85737.62313935044,44981.190635294886,9,83390.4838297664,1456551.1683027027
unemployment,2024-05-01,2024-10-01,5,1467300.0,1384328.3204990611,1383951.952323994,1404848.418697344,1295244.591848113,2024-05-01,1372688.4145092955,94611.58549070451,1435900.0,1460100.0,1422200.0,62739.315527063794,85737.62313935044,10,95581.77742721657,1468270.191936512
unemployment,2024-05-01,2024-11-01,6,1559700.0,1384328.5689562731,1383951.952323994,1405135.3243903536,1288716.2798865747,2024-05-01,1371445.1533615242,188254.84663847578,1467300.0,1435900.0,1460100.0,94611.58549070451,62739.315527063794,11,156274.05168349313,1527719.2050450174
unemployment,2024-05-01,2024-12-01,7,1502600.0,1384328.6066735955,1383951.952323994,1397522.504734397,1281560.7140055008,2024-05-01,1367497.5993494762,135102.40065052384,1559700.0,1467300.0,1435900.0,188254.84663847578,94611.58549070451,12,140993.7241213679,1508491.323470844
unemployment,2024-05-01,2025-01-01,8,1495300.0,1384328.6123993157,1383951.952323994,1398030.2879602413,1275075.5265704186,2024-05-01,1366335.1318128908,128964.86818710924,1502600.0,1559700.0,1467300.0,135102.40065052384,188254.84663847578,1,126262.55547581703,1492597.6872887078
unemployment,2024-05-01,2025-02-01,9,1483800.0,1384328.6132685158,1383951.952323994,1395728.0595716222,1264912.4156140983,2024-05-01,1363503.2617352016,120296.73826479842,1495300.0,1502600.0,1559700.0,128964.86818710924,135102.40065052384,2,134800.4421255405,1498303.703860742
unemployment,2024-05-01,2025-03-01,10,1520600.0,1384328.6134004665,1383951.952323994,1394401.4720732064,1257795.3634701571,2024-05-01,1361613.282378652,158986.7176213481,1483800.0,1495300.0,1502600.0,120296.73826479842,128964.86818710924,3,142424.32067504546,1504037.6030536974
unemployment,2024-05-01,2025-04-01,11,1553500.0,1384328.613420498,1383951.952323994,1391792.3337162451,1253473.929534471,2024-05-01,1359877.5998416282,193622.40015837178,1520600.0,1483800.0,1495300.0,158986.7176213481,120296.73826479842,4,153600.67169565742,1513478.2715372858
unemployment,2024-05-01,2025-05-01,12,1571000.0,1384328.61342354,1383951.952323994,1385333.857805149,1249158.3444370956,2024-05-01,1356887.9952575436,214112.00474245637,1553500.0,1520600.0,1483800.0,193622.40015837178,158986.7176213481,5,157286.03876697255,1514174.0340245161
unemployment,2024-06-01,2024-07-01,1,1422200.0,1429569.9780016174,1429593.2836533682,1437180.11084812,1330135.6525596497,2024-06-01,1411694.6344236904,10505.365576309618,1571000.0,1553500.0,1520600.0,214112.00474245637,193622.40015837178,7,66487.4993358258,1478182.1337595163
unemployment,2024-06-01,2024-08-01,2,1460100.0,1430575.5266480627,1429593.2836533682,1426678.0891237934,1329688.2422562833,2024-06-01,1408414.9882051996,51685.011794800404,1422200.0,1571000.0,1553500.0,10505.365576309618,214112.00474245637,8,41105.16325406457,1449520.151459264
unemployment,2024-06-01,2024-09-01,3,1435900.0,1430729.0822520289,1429593.2836533682,1428506.997038308,1322804.2445145238,2024-06-01,1407637.6998720835,28262.300127916504,1460100.0,1422200.0,1571000.0,51685.011794800404,10505.365576309618,9,52367.97166477776,1460005.6715368612
unemployment,2024-06-01,2024-10-01,4,1467300.0,1430752.523413994,1429593.2836533682,1436863.3326520177,1310920.0627880276,2024-06-01,1407934.2411650554,59365.75883494457,1435900.0,1460100.0,1422200.0,28262.300127916504,51685.011794800404,10,63677.86354382315,1471612.1047088786
unemployment,2024-06-01,2024-11-01,5,1559700.0,1430756.1016570504,1429593.2836533682,1438721.5057909966,1298840.9326576092,2024-06-01,1406067.3947549271,153632.60524507286,1467300.0,1435900.0,1460100.0,59365.75883494457,28262.300127916504,11,134096.6817372319,1540164.0764921592
unemployment,2024-06-01,2024-12-01,6,1502600.0,1430756.647863801,1429593.2836533682,1430241.4760260475,1286083.093021841,2024-06-01,1400689.962461767,101910.03753823298,1559700.0,1467300.0,1435900.0,153632.60524507286,59365.75883494457,12,125220.97773257874,1525910.9401943458
unemployment,2024-06-01,2025-01-01,7,1495300.0,1430756.7312403196,1429593.2836533682,1434840.401537494,1271549.8285378728,2024-06-01,1399213.3900945478,96086.60990545223,1502600.0,1559700.0,1467300.0,101910.03753823298,153632.60524507286,1,100185.671842288,1499399.0619368358
unemployment,2024-06-01,2025-02-01,8,1483800.0,1430756.7439674465,1429593.2836533682,1436888.1118521322,1254694.9798542047,2024-06-01,1396429.534504292,87370.46549570793,1495300.0,1502600.0,1559700.0,96086.60990545223,101910.03753823298,2,100396.85296206416,1496826.3874663562
unemployment,2024-06-01,2025-03-01,9,1520600.0,1430756.7459101968,1429593.2836533682,1437844.8546659092,1238869.5576032903,2024-06-01,1393500.760210267,127099.23978973296,1483800.0,1495300.0,1502600.0,87370.46549570793,96086.60990545223,3,102069.1183616692,1495569.8785719362
unemployment,2024-06-01,2025-04-01,10,1553500.0,1430756.7462067509,1429593.2836533682,1433617.0702404769,1225261.99450096,2024-06-01,1389335.6855695236,164164.3144304764,1520600.0,1483800.0,1495300.0,127099.23978973296,87370.46549570793,4,141029.20793980782,1530364.8935093314
unemployment,2024-06-01,2025-05-01,11,1571000.0,1430756.746252018,1429593.2836533682,1426971.7065850643,1212591.77068585,2024-06-01,1384574.2804225795,186425.7195774205,1553500.0,1520600.0,1483800.0,164164.3144304764,127099.23978973296,5,151512.93666427932,1536087.2170868588
unemployment,2024-06-01,2025-06-01,12,1548400.0,1430756.7462589284,1429593.2836533682,1424643.038149041,1203168.8310571176,2024-06-01,1381885.3614236307,166514.63857636927,1571000.0,1553500.0,1520600.0,186425.7195774205,164164.3144304764,6,149558.77304158435,1531444.134465215
unemployment,2024-07-01,2024-08-01,1,1460100.0,1422078.1776857446,1420980.496640748,1412793.5444780365,1351075.0910395647,2024-07-01,1404253.7385043623,55846.26149563771,1548400.0,1571000.0,1553500.0,166514.63857636927,186425.7195774205,8,110579.69412208395,1514833.4326264462
unemployment,2024-07-01,2024-09-01,2,1435900.0,1422059.6217444942,1420980.496640748,1417736.5683504727,1351074.363138283,2024-07-01,1405860.957784542,30039.042215457885,1460100.0,1548400.0,1571000.0,55846.26149563771,166514.63857636927,9,50801.546001556984,1456662.5037860991
unemployment,2024-07-01,2024-10-01,3,1467300.0,1422056.7951903977,1420980.496640748,1426928.4779484433,1348192.851812512,2024-07-01,1408267.342877224,59032.65712277591,1435900.0,1460100.0,1548400.0,30039.042215457885,55846.26149563771,10,62480.954253736796,1470748.297130961
unemployment,2024-07-01,2024-11-01,4,1559700.0,1422056.3646297003,1420980.496640748,1431376.4623388029,1343391.5111537366,2024-07-01,1408734.3380006542,150965.66199934576,1467300.0,1435900.0,1460100.0,59032.65712277591,30039.042215457885,11,131644.18050032898,1540378.5185009832
unemployment,2024-07-01,2024-12-01,5,1502600.0,1422056.29904359,1420980.496640748,1423813.3020154256,1337413.6508136946,2024-07-01,1405044.122352992,97555.87764700805,1559700.0,1467300.0,1435900.0,150965.66199934576,59032.65712277591,12,124751.36732456277,1529795.4896775547
unemployment,2024-07-01,2025-01-01,6,1495300.0,1422056.28905304,1420980.496640748,1433605.6154443156,1332380.0726339142,2024-07-01,1407206.237220127,88093.7627798731,1502600.0,1559700.0,1467300.0,97555.87764700805,150965.66199934576,1,100138.78985265334,1507345.0270727803
unemployment,2024-07-01,2025-02-01,7,1483800.0,1422056.2875312073,1420980.496640748,1434754.229344297,1323147.695502165,2024-07-01,1405690.1482521808,78109.85174781922,1495300.0,1502600.0,1559700.0,88093.7627798731,97555.87764700805,2,82940.04584979889,1488630.1941019797
unemployment,2024-07-01,2025-03-01,8,1520600.0,1422056.287299391,1420980.496640748,1436885.0711022173,1314994.56521287,2024-07-01,1404715.334291432,115884.66570856795,1483800.0,1495300.0,1502600.0,78109.85174781922,88093.7627798731,3,104848.89062654875,1509564.2249179808
unemployment,2024-07-01,2025-04-01,9,1553500.0,1422056.287264079,1420980.496640748,1433743.392451517,1307868.229091175,2024-07-01,1402231.6228533522,151268.37714664778,1520600.0,1483800.0,1495300.0,115884.66570856795,78109.85174781922,4,135226.9134790933,1537458.5363324455
unemployment,2024-07-01,2025-05-01,10,1571000.0,1422056.2872587014,1420980.496640748,1430474.815517681,1299568.405142003,2024-07-01,1399466.227860352,171533.77213964798,1553500.0,1520600.0,1483800.0,151268.37714664778,115884.66570856795,5,142834.52098536523,1542300.7488457172
unemployment,2024-07-01,2025-06-01,11,1548400.0,1422056.2872578828,1420980.496640748,1429124.4919751314,1292844.0622697538,2024-07-01,1397648.9281112514,150751.07188874856,1571000.0,1553500.0,1520600.0,171533.77213964798,151268.37714664778,6,138359.8678144122,1536008.7959256636
unemployment,2024-07-01,2025-07-01,12,1559900.0,1422056.2872577591,1420980.496640748,1425460.8695802314,1289017.9585265024,2024-07-01,1395670.8529631756,164229.14703682438,1548400.0,1571000.0,1553500.0,150751.07188874856,171533.77213964798,7,133139.6973571569,1528810.5503203324
unemployment,2024-08-01,2024-09-01,1,1435900.0,1465960.0147280088,1466671.0201447215,1469481.5630097927,1419299.835649788,2024-08-01,1457719.6864685626,-21819.686468562577,1559900.0,1548400.0,1571000.0,164229.14703682438,150751.07188874856,9,88096.38714219387,1545816.0736107565
unemployment,2024-08-01,2024-10-01,2,1467300.0,1466854.538013388,1466671.0201447215,1473887.672393362,1408737.0665651113,2024-08-01,1457203.4918341415,10096.508165858453,1435900.0,1559900.0,1548400.0,-21819.686468562577,164229.14703682438,10,18149.46226709727,1475352.9541012389
unemployment,2024-08-01,2024-11-01,3,1559700.0,1466990.8190041122,1466671.0201447215,1481638.5982229048,1398761.7310029175,2024-08-01,1457720.0404704905,101979.95952950954,1467300.0,1435900.0,1559900.0,10096.508165858453,-21819.686468562577,11,75705.42382209432,1533425.4642925847
unemployment,2024-08-01,2024-12-01,4,1502600.0,1467011.5752845998,1466671.0201447215,1478905.5719747045,1385852.526227009,2024-08-01,1454190.2355115735,48409.7644884265,1559700.0,1467300.0,1435900.0,101979.95952950954,10096.508165858453,12,86972.87515812773,1541163.1106697011
unemployment,2024-08-01,2025-01-01,5,1495300.0,1467014.7364271032,1466671.0201447215,1490248.1391309306,1368619.9651119432,2024-08-01,1454360.464255201,40939.53574479907,1502600.0,1559700.0,1467300.0,48409.7644884265,101979.95952950954,1,55967.0056397428,1510327.4698949438
unemployment,2024-08-01,2025-02-01,6,1483800.0,1467015.2178598389,1466671.0201447215,1484662.3355177487,1348112.681170314,2024-08-01,1448339.7797508962,35460.22024910385,1495300.0,1502600.0,1559700.0,40939.53574479907,48409.7644884265,2,47277.10340754132,1495616.8831584374
unemployment,2024-08-01,2025-03-01,7,1520600.0,1467015.2911805564,1466671.0201447215,1494047.6965339512,1331268.0427327675,2024-08-01,1447950.5527261335,72649.4472738665,1483800.0,1495300.0,1502600.0,35460.22024910385,40939.53574479907,3,48383.40424700084,1496333.9569731343
unemployment,2024-08-01,2025-04-01,8,1553500.0,1467015.3023470726,1466671.0201447215,1495911.223300861,1317752.911665981,2024-08-01,1445790.549349693,107709.45065030688,1520600.0,1483800.0,1495300.0,72649.4472738665,35460.22024910385,4,95183.67683438328,1540974.2261840764
unemployment,2024-08-01,2025-05-01,9,1571000.0,1467015.3040476989,1466671.0201447215,1494624.568834945,1305323.4326250504,2024-08-01,1442825.7116827331,128174.28831726685,1553500.0,1520600.0,1483800.0,107709.45065030688,72649.4472738665,5,120693.05152781488,1563518.763210548
unemployment,2024-08-01,2025-06-01,10,1548400.0,1467015.3043066985,1466671.0201447215,1487141.218102185,1294487.2902496487,2024-08-01,1438166.654856418,110233.34514358197,1571000.0,1553500.0,1520600.0,128174.28831726685,107709.45065030688,6,133715.6362895367,1571882.2911459547
unemployment,2024-08-01,2025-07-01,11,1559900.0,1467015.304346145,1466671.0201447215,1482306.455143213,1285529.2386364944,2024-08-01,1434755.795394909,125144.2046050909,1548400.0,1571000.0,1553500.0,110233.34514358197,128174.28831726685,7,127088.0883696152,1561843.8837645242
unemployment,2024-08-01,2025-08-01,12,1590100.0,1467015.3043521512,1466671.0201447215,1482229.3291976557,1277970.124381759,2024-08-01,1433182.6914678998,156917.30853210017,1559900.0,1548400.0,1571000.0,125144.2046050909,110233.34514358197,8,133133.29530584632,1566315.986773746
unemployment,2024-09-01,2024-10-01,1,1467300.0,1432276.42903644,1430924.4829708156,1438760.3418172423,1390760.287755787,2024-09-01,1425572.2957621217,41727.70423787832,1590100.0,1559900.0,1548400.0,156917.30853210017,125144.2046050909,10,118734.41815744415,1544306.7139195658
unemployment,2024-09-01,2024-11-01,2,1559700.0,1431729.4014205004,1430924.4829708156,1450697.3502491931,1379517.904216607,2024-09-01,1427033.738441499,132666.26155850105,1467300.0,1590100.0,1559900.0,41727.70423787832,156917.30853210017,11,98679.87045160793,1525713.608893107
unemployment,2024-09-01,2024-12-01,3,1502600.0,1431646.7180871156,1430924.4829708156,1446918.1862988735,1365693.7627207933,2024-09-01,1422951.1621891109,79648.83781088912,1559700.0,1467300.0,1590100.0,132666.26155850105,41727.70423787832,12,92111.73381630445,1515062.8960054154
unemployment,2024-09-01,2025-01-01,4,1495300.0,1431634.2181519829,1430924.4829708156,1456987.5979881152,1348643.684936207,2024-09-01,1422739.9533096135,72560.04669038649,1502600.0,1559700.0,1467300.0,79648.83781088912,132666.26155850105,1,84059.74542284918,1506799.6987324627
unemployment,2024-09-01,2025-02-01,5,1483800.0,1431632.3283783025,1430924.4829708156,1451434.656485909,1328791.2503029406,2024-09-01,1416863.5268011892,66936.47319881083,1495300.0,1502600.0,1559700.0,72560.04669038649,79648.83781088912,2,81473.98249361852,1498337.5092948077
unemployment,2024-09-01,2025-03-01,6,1520600.0,1431632.0426760367,1430924.4829708156,1467029.718111593,1311124.729183849,2024-09-01,1418330.6528697624,102269.34713023761,1483800.0,1495300.0,1502600.0,66936.47319881083,72560.04669038649,3,95529.01440134173,1513859.6672711042
unemployment,2024-09-01,2025-04-01,7,1553500.0,1431631.9994825905,1430924.4829708156,1464698.510953448,1295342.0298079776,2024-09-01,1414338.5437257944,139161.4562742056,1520600.0,1483800.0,1495300.0,102269.34713023761,66936.47319881083,4,116724.49009562569,1531063.03382142
unemployment,2024-09-01,2025-05-01,8,1571000.0,1431631.9929524565,1430924.4829708156,1461651.2369771805,1281577.8496395478,2024-09-01,1410526.3141216803,160473.68587831967,1553500.0,1520600.0,1483800.0,139161.4562742056,102269.34713023761,5,138964.08190226633,1549490.3960239466
unemployment,2024-09-01,2025-06-01,9,1548400.0,1431631.9919652082,1430924.4829708156,1453833.6045668256,1268099.4699892811,2024-09-01,1405217.183100535,143182.81689946493,1571000.0,1553500.0,1520600.0,160473.68587831967,139161.4562742056,6,147521.07405740742,1552738.2571579425
unemployment,2024-09-01,2025-07-01,10,1559900.0,1431631.9918159517,1430924.4829708156,1453984.3105684528,1255516.3868796732,2024-09-01,1402689.557476519,157210.4425234811,1548400.0,1571000.0,1553500.0,143182.81689946493,160473.68587831967,7,130129.37283899884,1532818.9303155178
unemployment,2024-09-01,2025-08-01,11,1590100.0,1431631.9917933866,1430924.4829708156,1455076.8282599293,1243605.0045092013,2024-09-01,1400606.5711101464,189493.42888985365,1559900.0,1548400.0,1571000.0,157210.4425234811,143182.81689946493,8,131468.04338346608,1532074.6144936124
unemployment,2024-09-01,2025-09-01,12,1596100.0,1431631.9917899764,1430924.4829708156,1453881.023710006,1233966.73653202,2024-09-01,1398242.940150075,197857.0598499251,1590100.0,1559900.0,1548400.0,189493.42888985365,157210.4425234811,9,148759.68235871822,1547002.6225087931
unemployment,2024-10-01,2024-11-01,1,1559700.0,1472080.287330311,1473287.3945848574,1483595.093134242,1333047.10630349,2024-10-01,1447646.2782280552,112053.72177194478,1596100.0,1590100.0,1559900.0,197857.0598499251,189493.42888985365,11,110336.1057303015,1557982.3839583567
unemployment,2024-10-01,2024-12-01,2,1502600.0,1472800.391430227,1473287.3945848574,1477901.7675623808,1320354.0886099306,2024-10-01,1443359.8330249523,59240.16697504767,1559700.0,1596100.0,1590100.0,112053.72177194478,197857.0598499251,12,49422.919721055725,1492782.752746008
unemployment,2024-10-01,2025-01-01,3,1495300.0,1472908.6959115197,1473287.3945848574,1491347.1538782525,1305251.1276982832,2024-10-01,1444676.515161062,50623.48483893811,1502600.0,1559700.0,1596100.0,59240.16697504767,112053.72177194478,1,60186.60238212672,1504863.1175431886
unemployment,2024-10-01,2025-02-01,4,1483800.0,1472924.9811370724,1473287.3945848574,1491729.4727906666,1288131.8114380646,2024-10-01,1441299.3058890658,42500.69411093416,1495300.0,1502600.0,1559700.0,50623.48483893811,59240.16697504767,2,59050.102414161716,1500349.4083032275
unemployment,2024-10-01,2025-03-01,5,1520600.0,1472927.42978036,1473287.3945848574,1509427.6562912783,1269901.838719989,2024-10-01,1443337.437304373,77262.5626956271,1483800.0,1495300.0,1502600.0,42500.69411093416,50623.48483893811,3,69966.37683411372,1513303.8141384865
