target,origin,forecast_date,horizon,weight_source,n_past_origins,w_sarimax,w_tbats_prophet,w_var,w_bilstm
unemployment,2023-10-01,2024-08-01,10,same_horizon_past_rmse,10,0.20488756520684973,0.2045445551177936,0.3033007020364367,0.2872671776389199
unemployment,2023-10-01,2024-09-01,11,same_horizon_past_rmse,10,0.20179296348337522,0.20150623818851118,0.2870664598529764,0.3096343384751373
unemployment,2023-10-01,2024-10-01,12,same_horizon_past_rmse,10,0.19933865577024582,0.19905741161608564,0.27884274895589745,0.32276118365777096
unemployment,2023-11-01,2023-12-01,1,same_horizon_past_rmse,11,0.3000975053288834,0.30321920021019944,0.29378264813992616,0.10290064632099111
unemployment,2023-11-01,2024-01-01,2,same_horizon_past_rmse,11,0.27947171346804894,0.27954066360445745,0.28902080583808315,0.15196681708941046
unemployment,2023-11-01,2024-02-01,3,same_horizon_past_rmse,11,0.26294074421798974,0.2621973388127781,0.30002643593159634,0.17483548103763577
unemployment,2023-11-01,2024-03-01,4,same_horizon_past_rmse,11,0.2438750770004319,0.24238668739534153,0.3273657751180512,0.18637246048617537
unemployment,2023-11-01,2024-04-01,5,same_horizon_past_rmse,11,0.22502778451534597,0.2239384749027896,0.33975088256646757,0.21128285801539692
unemployment,2023-11-01,2024-05-01,6,same_horizon_past_rmse,11,0.21786554183306345,0.21724496393866086,0.32714519638893425,0.23774429783934142
unemployment,2023-11-01,2024-06-01,7,same_horizon_past_rmse,11,0.21112014668563167,0.21060792366811112,0.32131957902638086,0.2569523506198764
unemployment,2023-11-01,2024-07-01,8,same_horizon_past_rmse,11,0.2064059754484543,0.20585417360275882,0.3179961738245245,0.2697436771242625
unemployment,2023-11-01,2024-08-01,9,same_horizon_past_rmse,11,0.20359421060871186,0.20309703300773063,0.30989328211923417,0.2834154742643234
unemployment,2023-11-01,2024-09-01,10,same_horizon_past_rmse,11,0.20467096384106356,0.2042488151171789,0.2972579498244406,0.29382227121731685
unemployment,2023-11-01,2024-10-01,11,same_horizon_past_rmse,11,0.2006758733374545,0.2003268229632902,0.2833961002859169,0.3156012034133384
unemployment,2023-11-01,2024-11-01,12,same_horizon_past_rmse,11,0.1982093237567665,0.19786995554195932,0.27456149503128213,0.32935922566999215
unemployment,2023-12-01,2024-01-01,1,same_horizon_past_rmse,12,0.30214480260961446,0.3048607210724923,0.2940490675038422,0.09894540881405121
unemployment,2023-12-01,2024-02-01,2,same_horizon_past_rmse,12,0.28090446199395075,0.28115390753656266,0.286823529431889,0.15111810103759749
unemployment,2023-12-01,2024-03-01,3,same_horizon_past_rmse,12,0.2615271082358121,0.2603184040936191,0.3060981753572058,0.1720563123133631
unemployment,2023-12-01,2024-04-01,4,same_horizon_past_rmse,12,0.23907940670110162,0.2372346501837938,0.3377931897461142,0.18589275336899044
unemployment,2023-12-01,2024-05-01,5,same_horizon_past_rmse,12,0.2227084312899308,0.22137533431032877,0.34397156770062504,0.21194466669911535
unemployment,2023-12-01,2024-06-01,6,same_horizon_past_rmse,12,0.2157990404229124,0.21497487668185514,0.330366384357076,0.23885969853815653
unemployment,2023-12-01,2024-07-01,7,same_horizon_past_rmse,12,0.2094360670519961,0.20874587490921123,0.3227128157406898,0.25910524229810294
unemployment,2023-12-01,2024-08-01,8,same_horizon_past_rmse,12,0.204630223118754,0.2039502299002912,0.318471032305036,0.27294851467591885
unemployment,2023-12-01,2024-09-01,9,same_horizon_past_rmse,12,0.2024784046848029,0.20186667706702807,0.3076895736027831,0.28796534464538587
unemployment,2023-12-01,2024-10-01,10,same_horizon_past_rmse,12,0.20310604619097702,0.20259438609425848,0.2963819520902462,0.29791761562451835
unemployment,2023-12-01,2024-11-01,11,same_horizon_past_rmse,12,0.19930836933722634,0.1988728670616056,0.28215768497432864,0.3196610786268395
unemployment,2023-12-01,2024-12-01,12,same_horizon_past_rmse,12,0.19848662871571346,0.19805651936556393,0.2713646989098814,0.3320921530088411
unemployment,2024-01-01,2024-02-01,1,same_horizon_past_rmse,13,0.31209512048179827,0.31485296444528327,0.2696216624229726,0.1034302526499459
unemployment,2024-01-01,2024-03-01,2,same_horizon_past_rmse,13,0.27971002744475365,0.2798061083788217,0.2901409520039778,0.1503429121724469
unemployment,2024-01-01,2024-04-01,3,same_horizon_past_rmse,13,0.25242367162156837,0.2512727654350051,0.32247552951349945,0.1738280334299273
unemployment,2024-01-01,2024-05-01,4,same_horizon_past_rmse,13,0.2316835845785612,0.23001018770666382,0.3499979641833718,0.18830826353140315
unemployment,2024-01-01,2024-06-01,5,same_horizon_past_rmse,13,0.21608486375606106,0.2148602460788009,0.3544417053960318,0.21461318476910635
unemployment,2024-01-01,2024-07-01,6,same_horizon_past_rmse,13,0.20853667967175002,0.2077806573152779,0.3417627973571691,0.24191986565580306
unemployment,2024-01-01,2024-08-01,7,same_horizon_past_rmse,13,0.2039895446264348,0.20333546860930696,0.3300992994563636,0.26257568730789477
unemployment,2024-01-01,2024-09-01,8,same_horizon_past_rmse,13,0.1986292212902937,0.19800039336188008,0.32639994457461446,0.27697044077321176
unemployment,2024-01-01,2024-10-01,9,same_horizon_past_rmse,13,0.19841332826662286,0.1978253953246955,0.31215580368820683,0.29160547272047477
unemployment,2024-01-01,2024-11-01,10,same_horizon_past_rmse,13,0.19874240058043954,0.19825212679454063,0.30113896273036456,0.30186650989465524
