origin,forecast_date,horizon,actual,sarimax_pred,tbats_prophet_pred,var_pred,bilstm_pred,w_sarimax,w_tbats_prophet,w_var,w_bilstm,ensemble_pred,residual,rf_residual_pred,final_hybrid_pred,rf_model_used
2023-07-01,2024-06-01,11,1423000.0,1175548.1803122524,1174301.7559570891,1245362.0309007734,1200516.2012841632,0.1741164513942192,0.1739064517144973,0.2503726943279241,0.4016044025633593,1202838.1680941842,220161.83190581575,160324.27024706345,1363162.4383412476,rolling_rf
2023-07-01,2024-07-01,12,1422200.0,1175548.1803144806,1174301.7559570891,1240898.0354441234,1213675.815730215,0.1643641318631658,0.1641607734627842,0.2321644362181878,0.4393106584558621,1207265.3552208734,214934.64477912663,165919.21523346443,1373184.5704543379,rolling_rf
2023-08-01,2023-09-01,1,1181400.0,1163591.8300918385,1163152.6826495202,1182446.8797197528,1089426.0515654448,0.3099283985776515,0.3141319268242146,0.2585231837620574,0.1174164908360765,1159620.0618647283,21779.93813527166,36899.28824134508,1196519.3501060733,rolling_rf
2023-08-01,2023-10-01,2,1235900.0,1163427.5763317074,1163152.6826495202,1196303.146266048,1092825.5527645587,0.2857693455248623,0.2866251664019207,0.2519705686103495,0.1756349194628675,1159232.280210921,76667.71978907892,54628.24255541713,1213860.5227663382,rolling_rf
2023-08-01,2023-11-01,3,1253300.0,1163403.2191821302,1163152.6826495202,1194385.1967119095,1095582.9779380378,0.265753385197821,0.2647502446899951,0.2756516871985598,0.1938446829136239,1158730.5307935628,94569.46920643724,60117.088551556495,1218847.6193451192,rolling_rf
2023-08-01,2023-12-01,4,1263300.0,1163399.6070170752,1163152.6826495202,1192036.3975409742,1098491.7074451223,0.2427838395122633,0.2412080540762062,0.3058654657017276,0.2101426407098028,1158459.1347216915,104840.86527830851,69183.48396017886,1227642.6186818704,rolling_rf
2023-08-01,2024-01-01,5,1246400.0,1163399.0713275475,1163152.6826495202,1205530.6864101114,1102574.031380524,0.2253076473707777,0.2241815722182543,0.3169617237027224,0.2335490567082454,1162492.314161411,83907.68583858898,71536.13781792962,1234028.4519793405,rolling_rf
2023-08-01,2024-02-01,6,1300900.0,1163398.991883862,1163152.6826495202,1222184.4719587816,1105324.929020665,0.2139175510671984,0.213299961632789,0.3041476281658128,0.2686348591341997,1165625.200772397,135274.799227603,83113.68221324614,1248738.882985643,rolling_rf
2023-08-01,2024-03-01,7,1350400.0,1163398.9801022224,1163152.6826495202,1231228.9307587328,1108431.950660959,0.2016682577475315,0.2011761847639774,0.2970639862575234,0.3000915712309676,1167004.1242191172,183395.87578088278,112529.23400704638,1279533.3582261635,rolling_rf
2023-08-01,2024-04-01,8,1360600.0,1163398.9783549854,1163152.6826495202,1234455.385549536,1109800.4645924903,0.1962801194914924,0.1957150427592181,0.3021694499805725,0.3058353877687169,1168429.527819652,192170.4721803479,124056.13524497375,1292485.6630646258,rolling_rf
